ID,GroupID,SI,Amplitude,Center,LW..Hz.
15692,1318,21,287831.08,"4.143,  71.18","20.0,   20.0"
15700,4099,21,321936.58,"0.947,  22.34","20.0,   20.0"
15772,4862,21,372600.47,"1.958,  36.95","20.0,   20.0"
15825,2253,21,351340.51,"2.119,  41.77","20.0,   20.0"
15827,1698,21,341728.13,"3.612,  75.90","20.0,   20.0"
15835,2630,21,320393.79,"3.559,  63.06","20.0,   20.0"
15854,4708,21,267894.96,"6.709, 105.57","20.0,   20.0"
15856,900,21,411734.99,"3.354,  72.76","20.0,   20.0"
15860,4904,21,323205.42,"1.142,  40.44","20.0,   20.0"
15861,4905,21,344350.29,"2.316,  28.91","20.0,   20.0"
15874,900,21,221090.41,"3.543,  74.75","20.0,   20.0"
15876,1030,21,280951.73,"4.301, 105.28","20.0,   20.0"
15890,441,21,291618.73,"1.232,  24.13","17.6,   20.0"
15893,4914,21,179264.51,"5.313, 122.27","14.4,   20.0"
5,2715,22,47266199.81,"1.286,  30.54","9.0,   20.0"
13,353,22,47436790.81,"3.760,  63.21","13.2,    5.0"
42,2715,22,44178715.29,"1.327,  30.05","20.0,   20.0"
46,19,22,23516947.81,"5.392,  93.46","6.7,    5.0"
61,353,22,24838129.74,"3.615,  63.85","11.6,   20.0"
116,59,22,20913380.24,"3.767,  83.56","10.5,   20.0"
219,102,22,19867247.6,"4.098,  79.12","14.1,    5.9"
220,353,22,20065411.31,"3.639,  63.85","8.8,   20.0"
234,108,22,25460784.11,"3.828,  74.20","20.0,    5.0"
246,353,22,17381424.19,"3.798,  62.00","10.9,    8.3"
269,2860,22,16862921.09,"3.434,  73.01","12.9,    6.9"
289,353,22,20429984.37,"3.724,  62.00","14.5,   15.4"
303,2860,22,20045561.51,"3.713,  74.44","20.0,    5.0"
316,2903,22,10538943.67,"3.227,  54.54","5.2,   11.6"
324,142,22,18819605.82,"3.361,  71.14","16.5,    5.0"
366,160,22,10111564.81,"3.310,  49.10","5.0,   14.3"
372,161,22,22794872.68,"4.026,  75.50","20.0,   12.1"
483,197,22,9096619.3,"5.110,  93.78","6.0,    5.0"
534,142,22,13287371.14,"3.286,  71.55","15.0,   20.0"
644,254,22,11123209.9,"3.285,  77.83","9.9,   13.3"
657,3019,22,13634977.31,"1.604,  25.83","20.0,   19.4"
659,822,22,15620363.79,"2.065,  27.98","20.0,    7.4"
699,278,22,14597452.65,"0.902, 14.284","18.3,    5.3"
754,305,22,11309637.3,"4.479,  98.00","13.8,    5.0"
804,324,22,9840517.97,"2.784,  41.01","15.7,   15.3"
819,329,22,11849948.18,"4.331,  69.22","19.7,   20.0"
824,334,22,11821385.78,"2.322,  34.83","20.0,   20.0"
850,353,22,11879806.39,"3.658,  62.64","20.0,   20.0"
853,2860,22,10571223.1,"3.780,  72.77","17.1,   17.4"
865,353,22,11281211.74,"3.695,  62.52","20.0,   20.0"
897,353,22,6730366.41,"3.844,  62.66","8.9,    5.0"
914,353,22,6653499.05,"3.775,  62.53","9.0,    5.0"
920,353,22,8061904.64,"3.817,  61.97","5.0,   14.9"
929,2715,22,10596918.59,"1.364,  30.50","20.0,   20.0"
932,2860,22,6713038.58,"3.419,  73.01","5.0,    5.0"
1028,2860,22,7468879.36,"3.365,  73.62","13.5,   20.0"
1050,324,22,6693587.07,"2.808,  41.01","9.2,   13.1"
1077,254,22,10239336.24,"3.348,  77.91","20.0,   20.0"
1088,405,22,10295920.28,"3.131,  76.11","20.0,   11.0"
1136,2715,22,7382446.02,"1.303,  30.21","9.9,   20.0"
1141,422,22,7209060.18,"2.596,  41.02","20.0,   13.1"
1147,2860,22,7849897.72,"3.673,  74.69","18.4,    8.8"
